,0.1,0.25,0.5,0.75,0.9,1.0,5.0,10.0
2,6.679697235224277,6.06225867068564,5.753155962592249,5.631349645649223,5.589338313310872,5.567950897221007,5.392640896784656,5.365507959159299
3,5.648714150431684,5.2991438597575495,5.028370528370226,4.923775496929219,4.888302017256604,4.868715075532676,4.147685554997525,4.429710297854722
4,5.48381616517861,5.033557046934191,4.710432364189266,4.562466748749985,4.500209068403839,4.465679127431278,3.95913813063444,3.71074595384466
5,4.708573424346972,4.241838655093142,3.963621254965248,3.871903486547436,3.8376086494850856,3.777450193879789,3.634914105482168,3.6351400338481468
6,4.567840811489851,4.192656125708472,3.9913498512249195,3.8991977036874625,3.853654274967919,3.827756934336202,3.8661243416448596,3.7181856135686275
7,4.442249781621456,4.080615393301314,3.515103382840338,3.249687690128996,3.14451618856756,3.0869327182681316,2.380407965379272,2.4518575714971482
8,4.842726196685843,4.153770264750018,3.549508114832913,3.1593609224628594,3.0080204377601487,2.925172229269611,2.3261222990339614,2.465314584049872
9,4.782519627864181,3.966144861884649,3.0303469696431717,2.7972963394081067,3.017498096703677,2.9968423470346157,2.1337227198112356,2.3560838678507667
10,4.506533557607072,3.24210418462192,2.73591870185791,2.339158434309936,2.2726157381916474,2.228020455594603,1.8532241619198382,2.177567185495926
